conflict_name,0
Afghanistan Conflict,14.397120575884822
Boko Haram Insurgency (Nigeria),1.9196160767846429
Burkinabe Insurgency,1.5896820635872826
Cameroonian Anglophone Crisis,1.6196760647870425
Colombian Conflict,15.086982603479305
Israel-Palestine Conflict,21.565686862627476
Kashmir Conflict (India/Pakistan),6.838632273545291
Kivu Conflict (DRC),4.469106178764247
Libyan Civil War,9.268146370725855
Malian Conflict,12.11757648470306
Mozambican Insurgency,2.8194361127774443
Myanmar Civil War,14.157168566286742
Nagorno-Karabakh Conflict,8.578284343131374
Russian Invasion of Ukraine,39.02219556088782
Somali Civil War,8.188362327534493
South Sudanese Civil War,4.559088182363527
Sudanese Conflict,17.246550689862026
Syrian Civil War,14.187162567486503
Tigray War (Ethiopia),5.668866226754649
Yemeni Civil War,12.20755848830234
